"plan","query","region","subject","estimate","planted","readout"
"cross","level_baseline","regionC","sub-02",-0.00468881348173403,-0.000608388705231452,"mean coupling over every eligible pair"
"cross","level_baseline","regionC","sub-03",0.00611502512260128,-0.000608388705231452,"mean coupling over every eligible pair"
"cross","level_baseline","regionC","sub-04",-0.0142282961373209,-0.000608388705231452,"mean coupling over every eligible pair"
"cross","level_baseline","regionC","sub-05",-0.0122782351150518,-0.000608388705231452,"mean coupling over every eligible pair"
"cross","level_baseline","regionC","sub-06",0.0180290688896941,-0.000608388705231452,"mean coupling over every eligible pair"
"cross","level_baseline","regionC","sub-07",0.00968120698378803,-0.000608388705231452,"mean coupling over every eligible pair"
"cross","level_baseline","regionC","sub-08",-0.0120545090799218,-0.000608388705231452,"mean coupling over every eligible pair"
"cross","level_baseline","regionC","sub-09",-0.00848149786057032,-0.000608388705231452,"mean coupling over every eligible pair"
"cross","level_baseline","regionC","sub-10",-0.000703794756926334,-0.000608388705231452,"mean coupling over every eligible pair"
"cross","level_baseline","regionC","sub-11",-0.00493346101679911,-0.000608388705231452,"mean coupling over every eligible pair"
"cross","level_baseline","regionC","sub-12",0.0170705948373359,-0.000608388705231452,"mean coupling over every eligible pair"
"cross","level_control_all","regionA","sub-01",0.102660952174532,0.0876844723599629,"mean control coupling (all eligible)"
"cross","level_control_all","regionA","sub-02",0.0966964740735314,0.0876844723599629,"mean control coupling (all eligible)"
"cross","level_control_all","regionA","sub-03",0.122005098956605,0.0876844723599629,"mean control coupling (all eligible)"
"cross","level_control_all","regionA","sub-04",0.0932591552691804,0.0876844723599629,"mean control coupling (all eligible)"
"cross","level_control_all","regionA","sub-05",0.0728144137232501,0.0876844723599629,"mean control coupling (all eligible)"
"cross","level_control_all","regionA","sub-06",0.103378365982054,0.0876844723599629,"mean control coupling (all eligible)"
"cross","level_control_all","regionA","sub-07",0.0817359322211925,0.0876844723599629,"mean control coupling (all eligible)"
"cross","level_control_all","regionA","sub-08",0.0685545978300218,0.0876844723599629,"mean control coupling (all eligible)"
"cross","level_control_all","regionA","sub-09",0.0834928332198077,0.0876844723599629,"mean control coupling (all eligible)"
"cross","level_control_all","regionA","sub-10",0.0827155113340011,0.0876844723599629,"mean control coupling (all eligible)"
"cross","level_control_all","regionA","sub-11",0.0762175092790975,0.0876844723599629,"mean control coupling (all eligible)"
"cross","level_control_all","regionA","sub-12",0.0849560373381062,0.0876844723599629,"mean control coupling (all eligible)"
"cross","level_control_all","regionB","sub-01",0.364401007721157,0.414189445123376,"mean control coupling (all eligible)"
"cross","level_control_all","regionB","sub-02",0.377672741508699,0.414189445123376,"mean control coupling (all eligible)"
"cross","level_control_all","regionB","sub-03",0.432624744782972,0.414189445123376,"mean control coupling (all eligible)"
"cross","level_control_all","regionB","sub-04",0.419743392939877,0.414189445123376,"mean control coupling (all eligible)"
"cross","level_control_all","regionB","sub-05",0.448511884668259,0.414189445123376,"mean control coupling (all eligible)"
"cross","level_control_all","regionB","sub-06",0.424613307507287,0.414189445123376,"mean control coupling (all eligible)"
"cross","level_control_all","regionB","sub-07",0.412368445091203,0.414189445123376,"mean control coupling (all eligible)"
"cross","level_control_all","regionB","sub-08",0.446856272159444,0.414189445123376,"mean control coupling (all eligible)"
"cross","level_control_all","regionB","sub-09",0.386242534912415,0.414189445123376,"mean control coupling (all eligible)"
"cross","level_control_all","regionB","sub-10",0.452588495062184,0.414189445123376,"mean control coupling (all eligible)"
"cross","level_control_all","regionB","sub-11",0.419933213512762,0.414189445123376,"mean control coupling (all eligible)"
"cross","level_control_all","regionB","sub-12",0.375330349493115,0.414189445123376,"mean control coupling (all eligible)"
"cross","level_control_all","regionC","sub-01",0.0206376342908839,-0.000763168784287181,"mean control coupling (all eligible)"
"cross","level_control_all","regionC","sub-02",-0.00484343439154852,-0.000763168784287181,"mean control coupling (all eligible)"
"cross","level_control_all","regionC","sub-03",0.00576260628624569,-0.000763168784287181,"mean control coupling (all eligible)"
"cross","level_control_all","regionC","sub-04",-0.0148124078082862,-0.000763168784287181,"mean control coupling (all eligible)"
"cross","level_control_all","regionC","sub-05",-0.0126437009669488,-0.000763168784287181,"mean control coupling (all eligible)"
"cross","level_control_all","regionC","sub-06",0.0175655627912199,-0.000763168784287181,"mean control coupling (all eligible)"
"cross","level_control_all","regionC","sub-07",0.0102930126553782,-0.000763168784287181,"mean control coupling (all eligible)"
"cross","level_control_all","regionC","sub-08",-0.011905668376371,-0.000763168784287181,"mean control coupling (all eligible)"
"cross","level_control_all","regionC","sub-09",-0.00806634615198242,-0.000763168784287181,"mean control coupling (all eligible)"
"cross","level_control_all","regionC","sub-10",-0.00118148055742789,-0.000763168784287181,"mean control coupling (all eligible)"
"cross","level_control_all","regionC","sub-11",-0.00489949723091306,-0.000763168784287181,"mean control coupling (all eligible)"
"cross","level_control_all","regionC","sub-12",0.0166256740994397,-0.000763168784287181,"mean control coupling (all eligible)"
"cross","level_control_category","regionA","sub-01",0.375552223374518,0.353061495326964,"mean control coupling (category-matched)"
"cross","level_control_category","regionA","sub-02",0.360641434056791,0.353061495326964,"mean control coupling (category-matched)"
"cross","level_control_category","regionA","sub-03",0.385603465726562,0.353061495326964,"mean control coupling (category-matched)"
"cross","level_control_category","regionA","sub-04",0.362199988908167,0.353061495326964,"mean control coupling (category-matched)"
"cross","level_control_category","regionA","sub-05",0.338105869953236,0.353061495326964,"mean control coupling (category-matched)"
"cross","level_control_category","regionA","sub-06",0.374434677300191,0.353061495326964,"mean control coupling (category-matched)"
"cross","level_control_category","regionA","sub-07",0.358407888258236,0.353061495326964,"mean control coupling (category-matched)"
"cross","level_control_category","regionA","sub-08",0.338870435496054,0.353061495326964,"mean control coupling (category-matched)"
"cross","level_control_category","regionA","sub-09",0.339859001528797,0.353061495326964,"mean control coupling (category-matched)"
"cross","level_control_category","regionA","sub-10",0.351291411804558,0.353061495326964,"mean control coupling (category-matched)"
"cross","level_control_category","regionA","sub-11",0.340461168158222,0.353061495326964,"mean control coupling (category-matched)"
"cross","level_control_category","regionA","sub-12",0.341901416985703,0.353061495326964,"mean control coupling (category-matched)"
"cross","level_control_category","regionB","sub-01",1.41506420075127,1.43936279192039,"mean control coupling (category-matched)"
"cross","level_control_category","regionB","sub-02",1.40939727434565,1.43936279192039,"mean control coupling (category-matched)"
"cross","level_control_category","regionB","sub-03",1.47288053359569,1.43936279192039,"mean control coupling (category-matched)"
"cross","level_control_category","regionB","sub-04",1.46769415265614,1.43936279192039,"mean control coupling (category-matched)"
"cross","level_control_category","regionB","sub-05",1.43953181782478,1.43936279192039,"mean control coupling (category-matched)"
"cross","level_control_category","regionB","sub-06",1.44420512861052,1.43936279192039,"mean control coupling (category-matched)"
"cross","level_control_category","regionB","sub-07",1.44337344060167,1.43936279192039,"mean control coupling (category-matched)"
"cross","level_control_category","regionB","sub-08",1.4902407363642,1.43936279192039,"mean control coupling (category-matched)"
"cross","level_control_category","regionB","sub-09",1.42495844664454,1.43936279192039,"mean control coupling (category-matched)"
"cross","level_control_category","regionB","sub-10",1.4887013752674,1.43936279192039,"mean control coupling (category-matched)"
"cross","level_control_category","regionB","sub-11",1.45700726692768,1.43936279192039,"mean control coupling (category-matched)"
"cross","level_control_category","regionB","sub-12",1.43109994484821,1.43936279192039,"mean control coupling (category-matched)"
"cross","level_control_category","regionC","sub-01",0.0254336190432611,-0.00242614995507854,"mean control coupling (category-matched)"
"cross","level_control_category","regionC","sub-02",-0.011337416631343,-0.00242614995507854,"mean control coupling (category-matched)"
"cross","level_control_category","regionC","sub-03",0.00270152939355744,-0.00242614995507854,"mean control coupling (category-matched)"
"cross","level_control_category","regionC","sub-04",-0.0145656679204374,-0.00242614995507854,"mean control coupling (category-matched)"
"cross","level_control_category","regionC","sub-05",-0.0122242281204589,-0.00242614995507854,"mean control coupling (category-matched)"
"cross","level_control_category","regionC","sub-06",0.0202484577490048,-0.00242614995507854,"mean control coupling (category-matched)"
"cross","level_control_category","regionC","sub-07",0.0081370820982753,-0.00242614995507854,"mean control coupling (category-matched)"
"cross","level_control_category","regionC","sub-08",-0.0137426753562826,-0.00242614995507854,"mean control coupling (category-matched)"
"cross","level_control_category","regionC","sub-09",-0.00947874852239498,-0.00242614995507854,"mean control coupling (category-matched)"
"cross","level_control_category","regionC","sub-10",0.00165282604548789,-0.00242614995507854,"mean control coupling (category-matched)"
"cross","level_control_category","regionC","sub-11",-0.00832375653329582,-0.00242614995507854,"mean control coupling (category-matched)"
"cross","level_control_category","regionC","sub-12",0.0149801318664292,-0.00242614995507854,"mean control coupling (category-matched)"
"cross","level_match","regionA","sub-01",0.915165339764197,0.880794375755597,"mean match coupling"
"cross","level_match","regionA","sub-02",0.860126989222784,0.880794375755597,"mean match coupling"
"cross","level_match","regionA","sub-03",0.948316303972297,0.880794375755597,"mean match coupling"
"cross","level_match","regionA","sub-04",0.832680371767133,0.880794375755597,"mean match coupling"
"cross","level_match","regionA","sub-05",0.864157137220905,0.880794375755597,"mean match coupling"
"cross","level_match","regionA","sub-06",0.883638956899538,0.880794375755597,"mean match coupling"
"cross","level_match","regionA","sub-07",0.868039583581301,0.880794375755597,"mean match coupling"
"cross","level_match","regionA","sub-08",0.85500031743261,0.880794375755597,"mean match coupling"
"cross","level_match","regionA","sub-09",0.861330690646747,0.880794375755597,"mean match coupling"
"cross","level_match","regionA","sub-10",0.899169500795599,0.880794375755597,"mean match coupling"
"cross","level_match","regionA","sub-11",0.885783715028334,0.880794375755597,"mean match coupling"
"cross","level_match","regionA","sub-12",0.919818955116406,0.880794375755597,"mean match coupling"
"cross","level_match","regionB","sub-01",1.4250009294844,1.43698396237191,"mean match coupling"
"cross","level_match","regionB","sub-02",1.40890122927045,1.43698396237191,"mean match coupling"
"cross","level_match","regionB","sub-03",1.51492819840495,1.43698396237191,"mean match coupling"
"cross","level_match","regionB","sub-04",1.47418319299184,1.43698396237191,"mean match coupling"
"cross","level_match","regionB","sub-05",1.4213480457845,1.43698396237191,"mean match coupling"
"cross","level_match","regionB","sub-06",1.40809291137932,1.43698396237191,"mean match coupling"
"cross","level_match","regionB","sub-07",1.41276405200033,1.43698396237191,"mean match coupling"
"cross","level_match","regionB","sub-08",1.49703247848562,1.43698396237191,"mean match coupling"
"cross","level_match","regionB","sub-09",1.41225288558721,1.43698396237191,"mean match coupling"
"cross","level_match","regionB","sub-10",1.47670197571746,1.43698396237191,"mean match coupling"
"cross","level_match","regionB","sub-11",1.41586662442205,1.43698396237191,"mean match coupling"
"cross","level_match","regionB","sub-12",1.43097628943635,1.43698396237191,"mean match coupling"
"cross","level_match","regionC","sub-01",0.0125098675469624,0.00620193477322063,"mean match coupling"
"cross","level_match","regionC","sub-02",0.00211450655010329,0.00620193477322063,"mean match coupling"
"cross","level_match","regionC","sub-03",0.0216214539222472,0.00620193477322063,"mean match coupling"
"cross","level_match","regionC","sub-04",0.0114726173851532,0.00620193477322063,"mean match coupling"
"cross","level_match","regionC","sub-05",0.00380226236841544,0.00620193477322063,"mean match coupling"
"cross","level_match","regionC","sub-06",0.0384233372225621,0.00620193477322063,"mean match coupling"
"cross","level_match","regionC","sub-07",-0.0172382425661806,0.00620193477322063,"mean match coupling"
"cross","level_match","regionC","sub-08",-0.0186035000361554,0.00620193477322063,"mean match coupling"
"cross","level_match","regionC","sub-09",-0.0267481730384381,0.00620193477322063,"mean match coupling"
"cross","level_match","regionC","sub-10",0.0203143804651424,0.00620193477322063,"mean match coupling"
"cross","level_match","regionC","sub-11",-0.00642786759578474,0.00620193477322063,"mean match coupling"
"cross","level_match","regionC","sub-12",0.0366471073047671,0.00620193477322063,"mean match coupling"
"cross","lm_match","regionA","sub-01",0.553784485146674,0.534134251629972,"match coefficient adjusting for same_category"
"cross","lm_match","regionA","sub-02",0.505962305655435,0.534134251629972,"match coefficient adjusting for same_category"
"cross","lm_match","regionA","sub-03",0.558184413186095,0.534134251629972,"match coefficient adjusting for same_category"
"cross","lm_match","regionA","sub-04",0.486436428769544,0.534134251629972,"match coefficient adjusting for same_category"
"cross","lm_match","regionA","sub-05",0.530132770746501,0.534134251629972,"match coefficient adjusting for same_category"
"cross","lm_match","regionA","sub-06",0.516648348189348,0.534134251629972,"match coefficient adjusting for same_category"
"cross","lm_match","regionA","sub-07",0.524220778866625,0.534134251629972,"match coefficient adjusting for same_category"
"cross","lm_match","regionA","sub-08",0.513858999159494,0.534134251629972,"match coefficient adjusting for same_category"
"cross","lm_match","regionA","sub-09",0.523445621287854,0.534134251629972,"match coefficient adjusting for same_category"
"cross","lm_match","regionA","sub-10",0.546067503540336,0.534134251629972,"match coefficient adjusting for same_category"
"cross","lm_match","regionA","sub-11",0.551433732650689,0.534134251629972,"match coefficient adjusting for same_category"
"cross","lm_match","regionA","sub-12",0.58440353547616,0.534134251629972,"match coefficient adjusting for same_category"
"cross","lm_match","regionB","sub-01",0.00386967361838488,-0.00419303351478929,"match coefficient adjusting for same_category"
"cross","lm_match","regionB","sub-02",0.000583724054277873,-0.00419303351478929,"match coefficient adjusting for same_category"
"cross","lm_match","regionB","sub-03",0.0238810576938016,-0.00419303351478929,"match coefficient adjusting for same_category"
"cross","lm_match","regionB","sub-04",0.00859164737132069,-0.00419303351478929,"match coefficient adjusting for same_category"
"cross","lm_match","regionB","sub-05",-0.0142623362031244,-0.00419303351478929,"match coefficient adjusting for same_category"
"cross","lm_match","regionB","sub-06",-0.0337321563617674,-0.00419303351478929,"match coefficient adjusting for same_category"
"cross","lm_match","regionB","sub-07",-0.0332352435801972,-0.00419303351478929,"match coefficient adjusting for same_category"
"cross","lm_match","regionB","sub-08",0.010617776213515,-0.00419303351478929,"match coefficient adjusting for same_category"
"cross","lm_match","regionB","sub-09",-0.0101433585731672,-0.00419303351478929,"match coefficient adjusting for same_category"
