relpath,role,tier,source,bytes,md5,sha256,url,s3_uri
sub-105/func/sub-105_task-sharedreward_run-02_events.tsv,events,transport,raw,4049,91aebf31e50a8abdab66b1e71db584a6,,https://openneuro.org/crn/datasets/ds003745/snapshots/2.1.1/files/sub-105:func:sub-105_task-sharedreward_run-02_events.tsv,s3://openneuro.org/ds003745/sub-105/func/sub-105_task-sharedreward_run-02_events.tsv
derivatives/fmriprep/sub-107/anat/sub-107_space-MNI152NLin2009cAsym_desc-preproc_T1w.nii.gz,anat-T1w-mni,core,fmriprep,8130436,2858c69b89f61bc931072a536d33d2fa,,https://openneuro.org/crn/datasets/ds003745/snapshots/2.1.1/files/derivatives:fmriprep:sub-107:anat:sub-107_space-MNI152NLin2009cAsym_desc-preproc_T1w.nii.gz,s3://openneuro.org/ds003745/derivatives/fmriprep/sub-107/anat/sub-107_space-MNI152NLin2009cAsym_desc-preproc_T1w.nii.gz
derivatives/fmriprep/sub-107/anat/sub-107_space-MNI152NLin2009cAsym_desc-brain_mask.nii.gz,anat-mask-mni,core,fmriprep,57152,971536f7c6ad848497e6ebd658a8251c,,https://openneuro.org/crn/datasets/ds003745/snapshots/2.1.1/files/derivatives:fmriprep:sub-107:anat:sub-107_space-MNI152NLin2009cAsym_desc-brain_mask.nii.gz,s3://openneuro.org/ds003745/derivatives/fmriprep/sub-107/anat/sub-107_space-MNI152NLin2009cAsym_desc-brain_mask.nii.gz
derivatives/fmriprep/sub-107/anat/sub-107_space-MNI152NLin2009cAsym_label-GM_probseg.nii.gz,anat-gm-probseg,core,fmriprep,6372661,d00ecac1e8956ef471809810e7ba859d,,https://openneuro.org/crn/datasets/ds003745/snapshots/2.1.1/files/derivatives:fmriprep:sub-107:anat:sub-107_space-MNI152NLin2009cAsym_label-GM_probseg.nii.gz,s3://openneuro.org/ds003745/derivatives/fmriprep/sub-107/anat/sub-107_space-MNI152NLin2009cAsym_label-GM_probseg.nii.gz
derivatives/fmriprep/sub-107/anat/sub-107_space-MNI152NLin2009cAsym_dseg.nii.gz,anat-dseg-mni,core,fmriprep,271964,95ed2f93c1a60921215a9c7570e12839,,https://openneuro.org/crn/datasets/ds003745/snapshots/2.1.1/files/derivatives:fmriprep:sub-107:anat:sub-107_space-MNI152NLin2009cAsym_dseg.nii.gz,s3://openneuro.org/ds003745/derivatives/fmriprep/sub-107/anat/sub-107_space-MNI152NLin2009cAsym_dseg.nii.gz
derivatives/fmriprep/sub-107/func/sub-107_task-trust_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz,bold-mni,core,fmriprep,82664998,964abdfcd1d57de469e62dd1828b33cb,,https://openneuro.org/crn/datasets/ds003745/snapshots/2.1.1/files/derivatives:fmriprep:sub-107:func:sub-107_task-trust_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz,s3://openneuro.org/ds003745/derivatives/fmriprep/sub-107/func/sub-107_task-trust_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz
derivatives/fmriprep/sub-107/func/sub-107_task-trust_run-1_space-MNI152NLin2009cAsym_desc-brain_mask.nii.gz,mask-mni,core,fmriprep,3855,c497436ac310d65f88c8225c0eea6a00,,https://openneuro.org/crn/datasets/ds003745/snapshots/2.1.1/files/derivatives:fmriprep:sub-107:func:sub-107_task-trust_run-1_space-MNI152NLin2009cAsym_desc-brain_mask.nii.gz,s3://openneuro.org/ds003745/derivatives/fmriprep/sub-107/func/sub-107_task-trust_run-1_space-MNI152NLin2009cAsym_desc-brain_mask.nii.gz
derivatives/fmriprep/sub-107/func/sub-107_task-trust_run-1_desc-confounds_timeseries.tsv,confounds,core,fmriprep,684635,06007b324ee9a0bf6b1912d021dcba27,,https://openneuro.org/crn/datasets/ds003745/snapshots/2.1.1/files/derivatives:fmriprep:sub-107:func:sub-107_task-trust_run-1_desc-confounds_timeseries.tsv,s3://openneuro.org/ds003745/derivatives/fmriprep/sub-107/func/sub-107_task-trust_run-1_desc-confounds_timeseries.tsv
sub-107/func/sub-107_task-trust_run-01_events.tsv,events,core,raw,3774,08a470fb3d7d2b7159c238b1c4869b05,,https://openneuro.org/crn/datasets/ds003745/snapshots/2.1.1/files/sub-107:func:sub-107_task-trust_run-01_events.tsv,s3://openneuro.org/ds003745/sub-107/func/sub-107_task-trust_run-01_events.tsv
derivatives/fmriprep/sub-107/func/sub-107_task-trust_run-2_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz,bold-mni,core,fmriprep,82905867,91128d0458ebcf87b92aa27187e5d38b,,https://openneuro.org/crn/datasets/ds003745/snapshots/2.1.1/files/derivatives:fmriprep:sub-107:func:sub-107_task-trust_run-2_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz,s3://openneuro.org/ds003745/derivatives/fmriprep/sub-107/func/sub-107_task-trust_run-2_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz
