"component","node","query","estimate","evidence_state","real_data_claim"
"configuration","group30","primary",0.260613438245782,"synthetic_rehearsal",FALSE
"configuration","group31","primary",0.320959942224252,"synthetic_rehearsal",FALSE
"configuration","group32","primary",0.320959942224252,"synthetic_rehearsal",FALSE
"configuration","group33","primary",0.320959942224252,"synthetic_rehearsal",FALSE
"configuration","group34","primary",0.320959942224252,"synthetic_rehearsal",FALSE
"configuration","group35","primary",0.320959942224252,"synthetic_rehearsal",FALSE
"configuration","group36","primary",0.260613438245782,"synthetic_rehearsal",FALSE
"configuration","group37","primary",0.256892073120846,"synthetic_rehearsal",FALSE
"configuration","group38","primary",0.22823115023415,"synthetic_rehearsal",FALSE
"configuration","group39","primary",0.210875839399907,"synthetic_rehearsal",FALSE
"configuration","group40","primary",0.272302388613461,"synthetic_rehearsal",FALSE
"configuration","group41","primary",0.272302388613461,"synthetic_rehearsal",FALSE
"configuration","group42","primary",0.272302388613461,"synthetic_rehearsal",FALSE
"configuration","group43","primary",0.272302388613461,"synthetic_rehearsal",FALSE
"configuration","group44","primary",0.272302388613461,"synthetic_rehearsal",FALSE
"configuration","group45","primary",0.272302388613461,"synthetic_rehearsal",FALSE
"configuration","group46","primary",0.272302388613461,"synthetic_rehearsal",FALSE
"configuration","group47","primary",0.272302388613461,"synthetic_rehearsal",FALSE
"configuration","group48","primary",0.272302388613461,"synthetic_rehearsal",FALSE
"configuration","group49","primary",0.272302388613461,"synthetic_rehearsal",FALSE
"configuration","group50","primary",0.272302388613461,"synthetic_rehearsal",FALSE
"configuration","group51","primary",0.272302388613461,"synthetic_rehearsal",FALSE
"configuration","group52","primary",0.272302388613461,"synthetic_rehearsal",FALSE
"configuration","<sink>","primary",0,"synthetic_rehearsal",FALSE
