"scenario","scenario_label","metric","scale","truth","estimate_mean","estimate_sd","interval_lower","interval_upper","n_valid","n_replications","noise_regime","trials_per_condition","snr","first_seed","last_seed"
"mixed_broad_fine","50/50 mixed","ground_truth_pattern",2,-0.0343145750507619,NA,NA,NA,NA,NA,24,"gaussian",24,0.8,4301,4324
"mixed_broad_fine","50/50 mixed","ground_truth_pattern",3,1.09901875828257,NA,NA,NA,NA,NA,24,"gaussian",24,0.8,4301,4324
"mixed_broad_fine","50/50 mixed","ground_truth_pattern",4,-0.0343145750507619,NA,NA,NA,NA,NA,24,"gaussian",24,0.8,4301,4324
"mixed_broad_fine","50/50 mixed","ground_truth_pattern",5,1.09901875828257,NA,NA,NA,NA,NA,24,"gaussian",24,0.8,4301,4324
"mixed_broad_fine","50/50 mixed","ground_truth_pattern",6,-0.0343145750507619,NA,NA,NA,NA,NA,24,"gaussian",24,0.8,4301,4324
"mixed_broad_fine","50/50 mixed","ground_truth_pattern",7,1.09901875828257,NA,NA,NA,NA,NA,24,"gaussian",24,0.8,4301,4324
"mixed_broad_fine","50/50 mixed","ground_truth_pattern",8,-0.0343145750507619,NA,NA,NA,NA,NA,24,"gaussian",24,0.8,4301,4324
"mixed_broad_fine","50/50 mixed","ground_truth_pattern",9,1.09901875828257,NA,NA,NA,NA,NA,24,"gaussian",24,0.8,4301,4324
"mixed_broad_fine","50/50 mixed","ground_truth_pattern",10,-0.0343145750507619,NA,NA,NA,NA,NA,24,"gaussian",24,0.8,4301,4324
"mixed_broad_fine","50/50 mixed","ground_truth_pattern",11,1.09901875828257,NA,NA,NA,NA,NA,24,"gaussian",24,0.8,4301,4324
"mixed_broad_fine","50/50 mixed","ground_truth_pattern",12,-0.0343145750507619,NA,NA,NA,NA,NA,24,"gaussian",24,0.8,4301,4324
"mixed_broad_fine","50/50 mixed","ground_truth_pattern",13,1.09901875828257,NA,NA,NA,NA,NA,24,"gaussian",24,0.8,4301,4324
"mixed_broad_fine","50/50 mixed","ground_truth_pattern",14,-0.0343145750507619,NA,NA,NA,NA,NA,24,"gaussian",24,0.8,4301,4324
"mixed_broad_fine","50/50 mixed","ground_truth_pattern",15,1.09901875828257,NA,NA,NA,NA,NA,24,"gaussian",24,0.8,4301,4324
"mixed_broad_fine","50/50 mixed","ground_truth_pattern",16,-0.0343145750507619,NA,NA,NA,NA,NA,24,"gaussian",24,0.8,4301,4324
"mixed_broad_fine","50/50 mixed","ground_truth_pattern",17,1.09901875828257,NA,NA,NA,NA,NA,24,"gaussian",24,0.8,4301,4324
"fine_configuration","Fine configuration","ground_truth_pattern",1,0.754247233265651,NA,NA,NA,NA,NA,24,"gaussian",24,0.8,4301,4324
"fine_configuration","Fine configuration","ground_truth_pattern",2,-0.848528137423857,NA,NA,NA,NA,NA,24,"gaussian",24,0.8,4301,4324
"fine_configuration","Fine configuration","ground_truth_pattern",3,0.754247233265651,NA,NA,NA,NA,NA,24,"gaussian",24,0.8,4301,4324
"fine_configuration","Fine configuration","ground_truth_pattern",4,-0.848528137423857,NA,NA,NA,NA,NA,24,"gaussian",24,0.8,4301,4324
"fine_configuration","Fine configuration","ground_truth_pattern",5,0.754247233265651,NA,NA,NA,NA,NA,24,"gaussian",24,0.8,4301,4324
"fine_configuration","Fine configuration","ground_truth_pattern",6,-0.848528137423857,NA,NA,NA,NA,NA,24,"gaussian",24,0.8,4301,4324
"fine_configuration","Fine configuration","ground_truth_pattern",7,0.754247233265651,NA,NA,NA,NA,NA,24,"gaussian",24,0.8,4301,4324
"fine_configuration","Fine configuration","ground_truth_pattern",8,-0.848528137423857,NA,NA,NA,NA,NA,24,"gaussian",24,0.8,4301,4324
"fine_configuration","Fine configuration","ground_truth_pattern",9,0.754247233265651,NA,NA,NA,NA,NA,24,"gaussian",24,0.8,4301,4324
"fine_configuration","Fine configuration","ground_truth_pattern",10,-0.848528137423857,NA,NA,NA,NA,NA,24,"gaussian",24,0.8,4301,4324
"fine_configuration","Fine configuration","ground_truth_pattern",11,0.754247233265651,NA,NA,NA,NA,NA,24,"gaussian",24,0.8,4301,4324
"fine_configuration","Fine configuration","ground_truth_pattern",12,-0.848528137423857,NA,NA,NA,NA,NA,24,"gaussian",24,0.8,4301,4324
"fine_configuration","Fine configuration","ground_truth_pattern",13,0.754247233265651,NA,NA,NA,NA,NA,24,"gaussian",24,0.8,4301,4324
"fine_configuration","Fine configuration","ground_truth_pattern",14,-0.848528137423857,NA,NA,NA,NA,NA,24,"gaussian",24,0.8,4301,4324
"fine_configuration","Fine configuration","ground_truth_pattern",15,0.754247233265651,NA,NA,NA,NA,NA,24,"gaussian",24,0.8,4301,4324
"fine_configuration","Fine configuration","ground_truth_pattern",16,-0.848528137423857,NA,NA,NA,NA,NA,24,"gaussian",24,0.8,4301,4324
"fine_configuration","Fine configuration","ground_truth_pattern",17,0.754247233265651,NA,NA,NA,NA,NA,24,"gaussian",24,0.8,4301,4324
"broad_coherent","Broad coherent","regional_activation",NA,0.8,0.794851319941909,0.0340369585712243,0.738473066512815,0.857763802916013,24,24,"gaussian",24,0.8,4301,4324
"mixed_broad_fine","50/50 mixed","regional_activation",NA,0.565685424949238,0.560536744891147,0.0340369585712243,0.504158491462053,0.62344922786525,24,24,"gaussian",24,0.8,4301,4324
"fine_configuration","Fine configuration","regional_activation",NA,6.53072367426563e-18,-0.00514868005809136,0.0340369585712243,-0.0615269334871849,0.0577638029160123,24,24,"gaussian",24,0.8,4301,4324
