"scenario","scale","coverage_regime","component","term","replications","estimate_mean","conditional_truth_mean","marginal_truth_mean","marginal_bias","target_shift","empirical_se","mean_se","conditional_coverage","coverage_mcse","mean_n","mean_coverage_fraction","mean_transport_quality","marginal_claim_supported"
"broad_coherent",2.01,"supported_complete","total","(Intercept)",200,2.18649239403347,2.18627091065922,2.18627091065922,0.000221483374246571,0,0.0816769440443924,0.14852318835269,1,0,24,1,0.755509530964764,TRUE
"broad_coherent",2.01,"supported_complete","total","covariate_x",200,0.098408028109382,0.0979813523439316,0.0979813523439316,0.000426675765450439,0,0.141329255712684,0.142713646171234,1,0,24,1,0.755509530964764,TRUE
"broad_coherent",4.01,"failure_informative","coherent","(Intercept)",200,2.33448356894182,2.334507461424,2.17071211268041,0.163771456261405,0.163795348743586,0.176089177060974,0.297916994502262,1,0,13.33,0.555416666666667,0.73949015055415,FALSE
"broad_coherent",4.01,"failure_informative","coherent","covariate_x",200,0.0204714914057279,0.02048112425286,0.0972919499237615,-0.0768204585180336,-0.0768108256709015,0.302034119655057,0.327098983493395,1,0,13.33,0.555416666666667,0.73949015055415,FALSE
"broad_coherent",4.01,"failure_informative","configuration","(Intercept)",200,0.0171440032278795,0.0156605924800127,0.015558797978809,0.00158520524907051,0.000101794501203741,0.0239346461199393,0.0274633284558869,0.965,0.012995191418367,13.33,0.555416666666667,0.73949015055415,FALSE
"broad_coherent",4.01,"failure_informative","configuration","covariate_x",200,0.00237969261781361,0.000844977249963414,0.000689402420170094,0.00169029019764352,0.00015557482979332,0.0277344355000442,0.0316721592922847,0.96,0.013856406460551,13.33,0.555416666666667,0.73949015055415,FALSE
"broad_coherent",4.01,"failure_informative","total","(Intercept)",200,2.3516275721697,2.35016805390401,2.18627091065922,0.165356661510475,0.16389714324479,0.177137627457145,0.300408836038441,1,0,13.33,0.555416666666667,0.73949015055415,FALSE
"broad_coherent",4.01,"failure_informative","total","covariate_x",200,0.0228511840235416,0.0213261015028234,0.0979813523439316,-0.07513016832039,-0.0766552508411082,0.304748053950104,0.327900881577524,1,0,13.33,0.555416666666667,0.73949015055415,FALSE
"broad_coherent",4.01,"supported_complete","coherent","(Intercept)",200,2.17049256498309,2.17071211268041,2.17071211268041,-0.000219547697322431,0,0.0781956645594605,0.147518585054713,1,0,24,1,0.755509530964764,TRUE
"broad_coherent",4.01,"supported_complete","coherent","covariate_x",200,0.0975783693517644,0.0972919499237615,0.0972919499237615,0.000286419428002934,0,0.139477442426746,0.140783216219567,1,0,24,1,0.755509530964764,TRUE
