"scenario","noise_regime","trials_per_condition","snr","regime_label","scale","metric","truth","estimate_mean","estimate_sd","interval_lower","interval_upper","n_valid","n_replications"
"broad_coherent","gaussian",6,0.8,"recoverable",2.01,"configuration",0,0.0197671641342986,0.117516025436181,-0.155743315556805,0.21402315997613,48,48
"broad_coherent","gaussian",6,0.8,"recoverable",2.01,"coherent_share",1,0.995510823495355,0.0393648214661582,0.929300752784548,1.05747057683986,48,48
"broad_coherent","gaussian",6,0.8,"recoverable",4.01,"activation",0.8,0.808682827316666,0.0641951621039576,0.689771137387744,0.922040646622179,48,48
"broad_coherent","gaussian",6,0.8,"recoverable",4.01,"aggregate",10.88,11.1961627621643,1.86432130565506,8.15350731864516,15.4382469710128,48,48
"broad_coherent","gaussian",6,0.8,"recoverable",4.01,"total",2.72,2.79904069054108,0.466080326413766,2.03837682966129,3.8595617427532,48,48
"broad_coherent","gaussian",6,0.8,"recoverable",4.01,"coherent",2.72,2.78111541628771,0.430308654990054,2.07955315576518,3.57573380257164,48,48
"broad_coherent","gaussian",6,0.8,"recoverable",4.01,"configuration",9.05941988094128e-16,0.0179252742533744,0.122382583427188,-0.155390614427483,0.20644984814406,48,48
"broad_coherent","gaussian",6,0.8,"recoverable",4.01,"coherent_share",1,0.996063268034945,0.0416771383025923,0.926246843845641,1.06137539609913,48,48
"broad_coherent","gaussian",24,0,"null",0.01,"activation",0,0.00779531969252825,0.0342792693616385,-0.0470623303839744,0.0669804366455727,48,48
"broad_coherent","gaussian",24,0,"null",0.01,"aggregate",0,-0.00781585061606523,0.165887967172429,-0.278836857882988,0.335300691449148,48,48
"broad_coherent","gaussian",24,0,"null",0.01,"total",0,-0.00195396265401631,0.0414719917931073,-0.069709214470747,0.083825172862287,48,48
"broad_coherent","gaussian",24,0,"null",0.01,"coherent",0,-0.00195396265401631,0.0414719917931073,-0.069709214470747,0.083825172862287,48,48
"broad_coherent","gaussian",24,0,"null",0.01,"configuration",0,0,0,0,0,48,48
"broad_coherent","gaussian",24,0,"null",0.01,"coherent_share",NA,1,0,1,1,48,48
"broad_coherent","gaussian",24,0,"null",1.01,"activation",0,0.00779531969252825,0.0342792693616385,-0.0470623303839744,0.0669804366455727,48,48
"broad_coherent","gaussian",24,0,"null",1.01,"aggregate",0,-0.00781585061606523,0.165887967172429,-0.278836857882988,0.335300691449148,48,48
"broad_coherent","gaussian",24,0,"null",1.01,"total",0,-0.00195396265401631,0.0414719917931073,-0.069709214470747,0.083825172862287,48,48
"broad_coherent","gaussian",24,0,"null",1.01,"coherent",0,0.00175996973529488,0.0205847732311523,-0.0319648320749711,0.0386164898490122,48,48
"broad_coherent","gaussian",24,0,"null",1.01,"configuration",0,-0.00371393238931119,0.0301224655082601,-0.0543454024181814,0.0547019652107501,48,48
"broad_coherent","gaussian",24,0,"null",1.01,"coherent_share",NA,0.347881471636057,2.10715340992608,-4.50326147752673,5.12280167009809,48,48
"broad_coherent","gaussian",24,0,"null",2.01,"activation",0,0.00779531969252825,0.0342792693616385,-0.0470623303839744,0.0669804366455727,48,48
"broad_coherent","gaussian",24,0,"null",2.01,"aggregate",0,-0.00781585061606523,0.165887967172429,-0.278836857882988,0.335300691449148,48,48
"broad_coherent","gaussian",24,0,"null",2.01,"total",0,-0.0019539626540163,0.0414719917931073,-0.069709214470747,0.083825172862287,48,48
"broad_coherent","gaussian",24,0,"null",2.01,"coherent",0,0.00187719341073021,0.0167072530383193,-0.0216522276249191,0.035549268327867,48,48
"broad_coherent","gaussian",24,0,"null",2.01,"configuration",0,-0.00383115606474652,0.033782835385555,-0.0557925108663366,0.0661270371205078,48,48
"broad_coherent","gaussian",24,0,"null",2.01,"coherent_share",NA,0.0715839222264703,2.65648747205076,-3.03237593366654,2.98879902595641,48,48
"broad_coherent","gaussian",24,0,"null",4.01,"activation",0,0.00779531969252825,0.0342792693616385,-0.0470623303839744,0.0669804366455727,48,48
