"dataset_id","scenario","transport_regime","coverage_regime","marginal_claim_supported","replication","method","n","estimate","reported_se","lower","upper","reject","quality_mean","coverage_fraction","failure"
"informative_coverage_cross_fitted-r0170-s873171","informative_coverage_cross_fitted","cross_fitted","informative",FALSE,170,"wild_bootstrap",13,0.221802268086418,0.370391534271533,-0.118102690859083,0.561707227031919,FALSE,0.696874094674858,0.541666666666667,FALSE
"informative_coverage_cross_fitted-r0171-s873172","informative_coverage_cross_fitted","cross_fitted","informative",FALSE,171,"classical",15,0.366007368977826,0.210876853980421,-0.0895643767349563,0.821579114690609,FALSE,0.733201779905358,0.625,FALSE
"informative_coverage_cross_fitted-r0171-s873172","informative_coverage_cross_fitted","cross_fitted","informative",FALSE,171,"HC3",15,0.366007368977826,0.310070365246746,-0.303858929399213,1.03587366735487,FALSE,0.733201779905358,0.625,FALSE
"informative_coverage_cross_fitted-r0171-s873172","informative_coverage_cross_fitted","cross_fitted","informative",FALSE,171,"wild_bootstrap",15,0.366007368977826,0.310070365246746,-0.19951211857615,0.931526856531802,FALSE,0.733201779905358,0.625,FALSE
"informative_coverage_cross_fitted-r0172-s873173","informative_coverage_cross_fitted","cross_fitted","informative",FALSE,172,"classical",9,-0.149283391715719,0.774962956779628,-1.98177959340288,1.68321280997144,FALSE,0.777154567995829,0.375,FALSE
"informative_coverage_cross_fitted-r0172-s873173","informative_coverage_cross_fitted","cross_fitted","informative",FALSE,172,"HC3",9,-0.149283391715719,0.991092403477094,-2.49284452454704,2.1942777411156,FALSE,0.777154567995829,0.375,FALSE
"informative_coverage_cross_fitted-r0172-s873173","informative_coverage_cross_fitted","cross_fitted","informative",FALSE,172,"wild_bootstrap",9,-0.149283391715719,0.991092403477094,-1.92803737783007,1.62947059439864,FALSE,0.777154567995829,0.375,FALSE
"informative_coverage_cross_fitted-r0173-s873174","informative_coverage_cross_fitted","cross_fitted","informative",FALSE,173,"classical",19,0.230601457987842,0.237361536271045,-0.270187608815256,0.73139052479094,FALSE,0.69166905149044,0.791666666666667,FALSE
"informative_coverage_cross_fitted-r0173-s873174","informative_coverage_cross_fitted","cross_fitted","informative",FALSE,173,"HC3",19,0.230601457987842,0.334219631391894,-0.474540326740485,0.935743242716168,FALSE,0.69166905149044,0.791666666666667,FALSE
"informative_coverage_cross_fitted-r0173-s873174","informative_coverage_cross_fitted","cross_fitted","informative",FALSE,173,"wild_bootstrap",19,0.230601457987842,0.334219631391894,-0.494524818698536,0.95572773467422,FALSE,0.69166905149044,0.791666666666667,FALSE
"informative_coverage_cross_fitted-r0174-s873175","informative_coverage_cross_fitted","cross_fitted","informative",FALSE,174,"classical",14,-0.00457217823674614,0.278718403254499,-0.611847411112014,0.602703054638521,FALSE,0.715260996250136,0.583333333333333,FALSE
"informative_coverage_cross_fitted-r0174-s873175","informative_coverage_cross_fitted","cross_fitted","informative",FALSE,174,"HC3",14,-0.00457217823674614,0.243999687622598,-0.536201828063658,0.527057471590165,FALSE,0.715260996250136,0.583333333333333,FALSE
"informative_coverage_cross_fitted-r0174-s873175","informative_coverage_cross_fitted","cross_fitted","informative",FALSE,174,"wild_bootstrap",14,-0.00457217823674614,0.243999687622598,-0.317387553973267,0.308243197499775,FALSE,0.715260996250136,0.583333333333333,FALSE
"informative_coverage_cross_fitted-r0175-s873176","informative_coverage_cross_fitted","cross_fitted","informative",FALSE,175,"classical",12,0.24554529739265,0.239815178504932,-0.288796219130213,0.779886813915514,FALSE,0.76031173217107,0.5,FALSE
"informative_coverage_cross_fitted-r0175-s873176","informative_coverage_cross_fitted","cross_fitted","informative",FALSE,175,"HC3",12,0.24554529739265,0.293157174407498,-0.407649592643212,0.898740187428513,FALSE,0.76031173217107,0.5,FALSE
"informative_coverage_cross_fitted-r0175-s873176","informative_coverage_cross_fitted","cross_fitted","informative",FALSE,175,"wild_bootstrap",12,0.24554529739265,0.293157174407498,-0.35968059141615,0.850771186201451,FALSE,0.76031173217107,0.5,FALSE
"informative_coverage_cross_fitted-r0176-s873177","informative_coverage_cross_fitted","cross_fitted","informative",FALSE,176,"classical",11,-0.223293660867581,0.420106186443586,-1.17363987966678,0.727052557931615,FALSE,0.715118744944609,0.458333333333333,FALSE
"informative_coverage_cross_fitted-r0176-s873177","informative_coverage_cross_fitted","cross_fitted","informative",FALSE,176,"HC3",11,-0.223293660867581,0.651964638866166,-1.69814013856982,1.25155281683466,FALSE,0.715118744944609,0.458333333333333,FALSE
"informative_coverage_cross_fitted-r0176-s873177","informative_coverage_cross_fitted","cross_fitted","informative",FALSE,176,"wild_bootstrap",11,-0.223293660867581,0.651964638866166,-2.32622271770026,1.8796353959651,FALSE,0.715118744944609,0.458333333333333,FALSE
"informative_coverage_cross_fitted-r0177-s873178","informative_coverage_cross_fitted","cross_fitted","informative",FALSE,177,"classical",16,0.421240818682772,0.372001005717054,-0.376621986271199,1.21910362363674,FALSE,0.731116967512504,0.666666666666667,FALSE
"informative_coverage_cross_fitted-r0177-s873178","informative_coverage_cross_fitted","cross_fitted","informative",FALSE,177,"HC3",16,0.421240818682772,0.548758973294203,-0.755730122114075,1.59821175947962,FALSE,0.731116967512504,0.666666666666667,FALSE
"informative_coverage_cross_fitted-r0177-s873178","informative_coverage_cross_fitted","cross_fitted","informative",FALSE,177,"wild_bootstrap",16,0.421240818682772,0.548758973294203,-1.14999220642898,1.99247384379453,FALSE,0.731116967512504,0.666666666666667,FALSE
"informative_coverage_cross_fitted-r0178-s873179","informative_coverage_cross_fitted","cross_fitted","informative",FALSE,178,"classical",17,0.107282798876103,0.285322310869145,-0.500867310964001,0.715432908716207,FALSE,0.737082496019355,0.708333333333333,FALSE
"informative_coverage_cross_fitted-r0178-s873179","informative_coverage_cross_fitted","cross_fitted","informative",FALSE,178,"HC3",17,0.107282798876103,0.261568607721814,-0.450237491185261,0.664803088937467,FALSE,0.737082496019355,0.708333333333333,FALSE
"informative_coverage_cross_fitted-r0178-s873179","informative_coverage_cross_fitted","cross_fitted","informative",FALSE,178,"wild_bootstrap",17,0.107282798876103,0.261568607721814,-0.385946674535977,0.600512272288183,FALSE,0.737082496019355,0.708333333333333,FALSE
"informative_coverage_cross_fitted-r0179-s873180","informative_coverage_cross_fitted","cross_fitted","informative",FALSE,179,"classical",16,-0.338783401012052,0.336024716489279,-1.05948473974961,0.381917937725507,FALSE,0.717739049290497,0.666666666666667,FALSE
"informative_coverage_cross_fitted-r0179-s873180","informative_coverage_cross_fitted","cross_fitted","informative",FALSE,179,"HC3",16,-0.338783401012052,0.508365990670336,-1.42912001039194,0.751553208367831,FALSE,0.717739049290497,0.666666666666667,FALSE
