"draw","V_C","V_W","R","eta"
93,487.185043397772,2169.31745765062,0.224579874964634,-0.113211317221032
94,482.002552651908,1697.80665217428,0.283897198797422,-0.0538939933882437
95,479.469750283602,876.678153967837,0.546916503067319,0.209125310881653
96,415.571709916751,1777.49484299077,0.233796295699807,-0.103994896485859
97,427.231724721455,1140.76747124265,0.374512541329801,0.036721349144135
98,460.513204088976,1520.91108203573,0.302787723443097,-0.0350034687425685
99,433.92763609817,1710.70711034866,0.253653961846065,-0.0841372303396011
100,475.78458545294,1719.79293330353,0.276652250535192,-0.0611389416504738
101,443.648058291962,2243.67395843191,0.19773285535748,-0.140058336828186
102,443.23263826147,968.725487898887,0.457542042403382,0.119750850217717
103,353.681286986224,1081.33953657105,0.327076995730458,-0.0107141964552077
104,423.177837888902,1661.10190061256,0.254757301603742,-0.0830338905819237
105,453.70295114245,1557.67121490271,0.291270036193606,-0.0465211559920597
106,381.1967618958,650.226761659424,0.586252034479416,0.248460842293751
107,467.278313874068,1139.8906222506,0.409932588928113,0.0721413967424476
108,450.408207144426,1358.8260238794,0.331468634857703,-0.00632255732796305
109,452.306117315731,1057.69537817479,0.427633633131926,0.0898424409462605
110,442.200185631864,691.803493001468,0.639199122446358,0.301407930260693
111,456.721626687716,1408.78500186082,0.324195406740168,-0.0135957854454976
112,466.611074015431,1784.2275799227,0.261519931238618,-0.0762712609470472
113,417.618386845304,1184.05946385637,0.352700518507034,0.0149093263213682
114,452.208478450638,1251.07059251866,0.361457204057726,0.0236660118720602
115,462.807911963735,1263.64731261335,0.366247692171799,0.0284564999861331
116,449.624911181482,1070.73971201293,0.41991989849355,0.0821287063078843
117,433.720697169159,2184.98799422954,0.198500265591663,-0.139290926594002
118,482.200989518807,2063.77993372168,0.233649422421333,-0.104141769764333
119,446.676671129325,1080.93338313402,0.413232376850316,0.0754411846646503
120,440.809025548169,1674.98707368284,0.263171598440428,-0.0746195937452373
121,423.231184812598,1070.8686651309,0.395222307453422,0.0574311152677559
122,425.969790602346,986.790652882789,0.431671894497508,0.0938807023118423
123,459.177866875698,1799.05033521053,0.255233473955005,-0.0825577182306609
124,424.495896654491,1214.43733436762,0.349541211095536,0.0117500189098703
125,411.649879533424,649.895647591505,0.633409195859346,0.29561800367368
126,428.633561786709,1149.25855728033,0.372965299297881,0.0351741071122149
127,507.497370763638,1622.24036379104,0.312837346481539,-0.0249538457041262
128,458.184856845286,1137.40038503079,0.40283515187388,0.0650439596882144
129,475.137940190182,1083.43027431127,0.438549624702174,0.100758432516509
130,462.658215096788,2147.9419877846,0.215396047811317,-0.122395144374349
131,454.112960004715,1179.34191788976,0.385056236123005,0.0472650439373393
132,465.441349773595,2008.84064956661,0.231696501100777,-0.106094691084889
133,362.677541605033,914.066072458787,0.396773879408357,0.058982687222691
134,498.92393518693,1176.05537347569,0.424235071272553,0.0864438790868878
135,451.15844591005,1560.15016851718,0.289176295342676,-0.0486148968429898
136,426.810952429012,1923.81140016976,0.221856961857773,-0.115934230327892
137,427.90708542658,1474.30702820496,0.290242857993818,-0.0475483341918475
138,448.518345250004,1308.43545869786,0.342789812266602,0.00499862008093682
139,462.770633247258,992.495235316396,0.466269878967965,0.128478686782299
140,409.221873353971,1120.84325963534,0.365101783711588,0.0273105915259219
141,448.664856377472,1208.54741016625,0.371243074622743,0.0334518824370774
142,468.182985827523,948.166040825208,0.493777424700903,0.155986232515238
143,443.000654031611,867.355352741261,0.510748740561196,0.17295754837553
144,410.362295736215,793.155527568032,0.51737935559053,0.179588163404864
145,466.841816441387,2096.43975619886,0.222683153694737,-0.115108038490929
146,459.371690597154,1574.82442898889,0.291697081999224,-0.0460941101864416
147,443.430427851849,951.385720272978,0.466089009329062,0.128297817143397
148,437.828676212389,1215.89759855789,0.360086800674393,0.0222956084887276
149,477.878721056575,1905.47795084589,0.250792049755512,-0.0869991424301533
150,498.648797670023,1314.45443716285,0.379357993378847,0.0415668011931818
151,443.986440914597,2306.09956783492,0.192527004083971,-0.145264188101695
152,400.040058760505,1375.84768643892,0.290758971871313,-0.0470322203143528
153,436.203048050823,1157.16788482796,0.376957443919794,0.0391662517341282
154,420.255096716226,1246.67181614312,0.337101626325673,-0.000689565859992358
155,402.40468900314,1170.94247745701,0.343658801990908,0.00586760980524215
156,492.904887999396,980.961078197254,0.502471401724953,0.164680209539288
157,400.834894550992,1596.08482280136,0.251136336129974,-0.0866548560556913
158,441.597922076014,971.434878616463,0.454583144785729,0.116791952600063
159,433.358384212444,1560.17442989843,0.277762778255927,-0.0600284139297387
160,453.984940878241,1663.87191081857,0.272848491477264,-0.0649427007084012
161,429.18379688363,1759.85006233868,0.243875206228242,-0.0939159859574236
162,438.667123193944,1353.70762013583,0.324048647336364,-0.0137425448493016
163,444.298124907034,972.879385185999,0.456683666724104,0.118892474538438
164,434.698791509935,1079.61542825845,0.40264225587361,0.0648510636879448
165,445.427313672218,1161.66048341008,0.383440187587905,0.0456489954022393
166,456.624348960956,3074.02591057763,0.148542778182099,-0.189248414003567
167,472.289381714746,1269.13956696382,0.372133525743436,0.0343423335577708
168,466.929422275572,1150.64669822409,0.405797385936303,0.0680061937506377
169,445.385938168253,1527.45083979725,0.291587739889142,-0.0462034522965237
170,482.318587185226,1817.8406631266,0.265325007284005,-0.0724661849016605
171,476.251184211811,1511.4826779343,0.315088747733908,-0.0227024444517577
172,440.423766004458,593.407386695769,0.742194613479351,0.404403421293685
